# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 FPKM in experiment E-ENAD-34
# Selected columns: 11 (all)
# Timestamp: Wed, 16-Jul-2025 14:08:40
Gene ID	Gene Name	CD14-positive, CD16-negative classical monocyte, non smoker	CD14-positive, CD16-negative classical monocyte, not available	CD14-positive, CD16-negative classical monocyte, past smoker	CD4-positive, alpha-beta T cell, non smoker	CD4-positive, alpha-beta T cell, not available	CD4-positive, alpha-beta T cell, past smoker	CD4-positive, alpha-beta T cell, smoker	mature neutrophil, non smoker	mature neutrophil, not available	mature neutrophil, past smoker	mature neutrophil, smoker
ENSG00000000003	TSPAN6				0.7	0.9	0.8	0.3				
ENSG00000000419	DPM1	24.0	25.0	24.0	33.0	34.0	32.0	30.0	29.0	27.0	28.0	31.0
ENSG00000000457	SCYL3	3.0	3.0	3.0	6.0	6.0	6.0	6.0	5.0	5.0	5.0	4.0
ENSG00000000460	C1orf112	1.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0
ENSG00000000938	FGR	238.0	234.0	234.0	0.4	0.5	0.3	1.0	192.0	189.0	198.0	257.0
ENSG00000000971	CFH	0.1	0.1	0.1	0.3	0.4	0.3	0.4				
ENSG00000001036	FUCA2	18.0	18.0	19.0	2.0	2.0	2.0	3.0	0.5	0.5	0.5	0.3
ENSG00000001084	GCLC	5.0	5.0	5.0	3.0	4.0	3.0	3.0	0.2	0.2	0.2	0.2
ENSG00000001167	NFYA	12.0	11.0	11.0	13.0	13.0	12.0	15.0	25.0	23.0	26.0	19.0
ENSG00000001460	STPG1	0.1	0.1	0.1	0.8	0.9	0.8	0.8	0.1	0.1	0.1	0.1
ENSG00000001461	NIPAL3	2.0	2.0	2.0	14.0	15.0	14.0	12.0	0.3	0.3	0.2	0.1
ENSG00000001497	LAS1L	5.0	5.0	5.0	10.0	10.0	10.0	12.0	0.3	0.3	0.3	0.4
ENSG00000001561	ENPP4	2.0	2.0	2.0	6.0	6.0	6.0	5.0	0.4	0.4	0.4	0.4
ENSG00000001617	SEMA3F	0.1		0.1								
ENSG00000001629	ANKIB1	13.0	13.0	13.0	16.0	16.0	16.0	15.0	4.0	4.0	4.0	4.0
